SITE_ID;Date;SPECIES;COUNT;Day;Month;Year;XLambert;YLambert;x;y
15698 - Krakeelduinen;1/9/2012 0:00:00;Klein geaderd witje;6;1;9;2012;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;1/9/2012 0:00:00;Klein koolwitje;1;1;9;2012;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;1/9/2012 0:00:00;Kleine parelmoervlinder;4;1;9;2012;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;1/9/2012 0:00:00;Kleine vuurvlinder;1;1;9;2012;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;6/9/2012 0:00:00;Atalanta;1;6;9;2012;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;6/9/2012 0:00:00;Bont zandoogje;1;6;9;2012;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;6/9/2012 0:00:00;Bruin blauwtje;1;6;9;2012;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;6/9/2012 0:00:00;Hooibeestje;4;6;9;2012;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;6/9/2012 0:00:00;Klein geaderd witje;4;6;9;2012;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;6/9/2012 0:00:00;Klein koolwitje;1;6;9;2012;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;6/9/2012 0:00:00;Kleine parelmoervlinder;5;6;9;2012;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;27/6/2013 0:00:00;Atalanta;1;27;6;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;27/6/2013 0:00:00;Bruin blauwtje;1;27;6;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;27/6/2013 0:00:00;Hooibeestje;8;27;6;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;27/6/2013 0:00:00;Icarusblauwtje;1;27;6;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;27/6/2013 0:00:00;Klein geaderd witje;1;27;6;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;27/6/2013 0:00:00;Kleine parelmoervlinder;2;27;6;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;27/6/2013 0:00:00;Kleine vos;14;27;6;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;8/7/2013 0:00:00;Groot dikkopje;6;8;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;8/7/2013 0:00:00;Hooibeestje;5;8;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;8/7/2013 0:00:00;Kleine parelmoervlinder;4;8;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;8/7/2013 0:00:00;Kleine vos;3;8;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;8/7/2013 0:00:00;Koevinkje;11;8;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;13/7/2013 0:00:00;Atalanta;1;13;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;13/7/2013 0:00:00;Bruin blauwtje;2;13;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;13/7/2013 0:00:00;Bruin zandoogje;1;13;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;13/7/2013 0:00:00;Groot dikkopje;1;13;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;13/7/2013 0:00:00;Hooibeestje;1;13;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;13/7/2013 0:00:00;Kleine parelmoervlinder;2;13;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;13/7/2013 0:00:00;Kleine vos;1;13;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;13/7/2013 0:00:00;Koevinkje;5;13;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;22/7/2013 0:00:00;Bruin blauwtje;2;22;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;22/7/2013 0:00:00;Dagpauwoog;1;22;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;22/7/2013 0:00:00;Groot dikkopje;3;22;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;22/7/2013 0:00:00;Klein geaderd witje;3;22;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;22/7/2013 0:00:00;Klein koolwitje;1;22;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;22/7/2013 0:00:00;Kleine parelmoervlinder;5;22;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;22/7/2013 0:00:00;Koevinkje;3;22;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;22/7/2013 0:00:00;Oranje zandoogje;1;22;7;2013;25363.30;198144.72;2.59;51.08
15698 - Krakeelduinen;28/7/2013 0:00:00;Argusvlinder;1;28;7;2013;25363.30;198144.72;2.59;51.08
