#station_name;Waterloo_P
#station_no;WAT_4_ZRG
#stationparameter_name;N
#parametertype_name;N
#ts_name;P.60
#ts_unitname;millimeter
Date,Hour,Value,Quality Code,Absolute Value,AV Quality Code
dim 7 fevrî 2016,09,0,130,,
dim 7 fevrî 2016,10,0.04,130,,
dim 7 fevrî 2016,11,0,130,,
dim 7 fevrî 2016,12,0,130,,
dim 7 fevrî 2016,13,0.18,130,,
dim 7 fevrî 2016,14,0,130,,
dim 7 fevrî 2016,15,0,130,,
dim 7 fevrî 2016,16,0,130,,
dim 7 fevrî 2016,17,0,130,,
dim 7 fevrî 2016,18,0,130,,
dim 7 fevrî 2016,19,0,130,,
dim 7 fevrî 2016,20,0,130,,
dim 7 fevrî 2016,21,0,130,,
dim 7 fevrî 2016,22,0,130,,
dim 7 fevrî 2016,23,0.1,130,,
mår 1 måss 2016,00,0,130,,
mår 1 måss 2016,01,0,130,,
mår 1 måss 2016,02,0,130,,
mår 1 måss 2016,03,0,130,,
mår 1 måss 2016,04,0,130,,
mår 1 måss 2016,05,0,130,,
mår 1 måss 2016,06,0,130,,
mår 1 måss 2016,07,0,130,,
mår 1 måss 2016,08,0,130,,
mår 1 måss 2016,09,0.37,130,,
mår 1 måss 2016,10,0.26,130,,
mår 1 måss 2016,11,0.72,130,,
mår 1 måss 2016,12,0.58,130,,
mår 1 måss 2016,13,0,130,,
mår 1 måss 2016,14,1.41,130,,
mår 1 måss 2016,15,1.44,130,,
mår 1 måss 2016,16,0.3,130,,
mår 1 måss 2016,17,0.3,130,,
mår 1 måss 2016,18,0.6,130,,
mår 1 måss 2016,19,0.1,130,,
mår 1 måss 2016,20,0,130,,
mår 1 måss 2016,21,0,130,,
mår 1 måss 2016,22,0,130,,
mår 1 måss 2016,23,0,130,,
mie 2 måss 2016,00,0,130,,
mie 2 måss 2016,01,0,130,,
mie 2 måss 2016,02,0,130,,
mie 2 måss 2016,03,0,130,,
mie 2 måss 2016,04,0,130,,
mie 2 måss 2016,05,0.08,130,,
mie 2 måss 2016,06,2.46,130,,
mie 2 måss 2016,07,0.05,130,,
mie 2 måss 2016,08,0,130,,
mie 2 måss 2016,09,0,130,,
mie 2 måss 2016,10,0,130,,
mie 2 måss 2016,11,0,130,,
mie 2 måss 2016,12,0.04,130,,
mie 2 måss 2016,13,0.42,130,,
mie 2 måss 2016,14,0.3,130,,
mie 2 måss 2016,15,2.22,130,,
