province,location,year,latinName,commonName,counts,catched,adult,pulli,not_catched
Antwerpen,Arendonk,2014,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Arendonk,2015,Alopochen aegyptiacus,Nijlgans,0,,,,
Antwerpen,Arendonk,2015,Anser albifrons,Kolgans,0,,,,
Antwerpen,Arendonk,2015,Anser anser,Grauwe gans,0,,,,
Antwerpen,Arendonk,2015,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Arendonk,2015,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Arendonk,2015,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Arendonk,2015,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Arendonk,2015,Anser indicus,Indische gans,0,,,,
Antwerpen,Arendonk,2015,Branta canadensis,Canadese gans,3,,,,
Antwerpen,Arendonk,2015,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Arendonk,2015,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Arendonk,2015,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Beerse,2013,Alopochen aegyptiacus,Nijlgans,0,,,,
Antwerpen,Beerse,2013,Anser albifrons,Kolgans,0,,,,
Antwerpen,Beerse,2013,Anser anser,Grauwe gans,3,,,,
Antwerpen,Beerse,2013,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Beerse,2013,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Beerse,2013,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Beerse,2013,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Beerse,2013,Anser indicus,Indische gans,0,,,,
Antwerpen,Beerse,2013,Branta canadensis,Canadese gans,154,,,,
Antwerpen,Beerse,2013,Branta leucopsis,Brandgans,13,,,,
Antwerpen,Beerse,2013,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Beerse,2013,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Beerse,2014,Alopochen aegyptiacus,Nijlgans,6,,,,
Antwerpen,Beerse,2014,Anser albifrons,Kolgans,0,,,,
Antwerpen,Beerse,2014,Anser anser,Grauwe gans,0,,,,
Antwerpen,Beerse,2014,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Beerse,2014,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Beerse,2014,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Beerse,2014,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Beerse,2014,Anser indicus,Indische gans,0,,,,
Antwerpen,Beerse,2014,Branta canadensis,Canadese gans,88,110,0,0,0
