province,location,year,latinName,commonName,counts,catched,x,y
Antwerpen,Duffel,2013,Anser indicus,Indische gans,0,,2.75808,51.04082
Antwerpen,Duffel,2013,Branta canadensis,Canadese gans,4,,3.89966,50.86607
Antwerpen,Duffel,2013,Branta leucopsis,Brandgans,0,,4.61731,50.91977
Antwerpen,Duffel,2013,Branta ruficollis,Roodhalsgans,0,,3.95181,50.99071
Antwerpen,Duffel,2013,Chloephaga picta,Magelhaengans,0,,3.89966,50.86607
Antwerpen,Duffel,2014,Alopochen aegyptiacus,Nijlgans,0,,4.61731,50.91977
Antwerpen,Duffel,2014,Anser albifrons,Kolgans,0,,3.15924,51.2728
Antwerpen,Duffel,2014,Anser anser,Grauwe gans,0,,5.19728,51.09375
Antwerpen,Duffel,2014,Anser anser forma domesticus,Soepgans,10,1,5.56507,50.83254
Antwerpen,Duffel,2014,Anser brachyrhynchus,Kleine rietgans,0,,3.59775,51.25619
Antwerpen,Duffel,2014,Anser cygnoides forma domestica,Zwaangans,0,,5.48821,51.19541
