gbifID	occurrenceID	scientificName	taxonKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	basisOfRecord	sex	lifeStage	individualCount
5901038033	6-1643936	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038032	6-1643935	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038031	6-1643945	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			2
5901038030	6-1659493	Procyon lotor (Linnaeus, 1758)	5218786	49.928119	5.26384	49	2025-04-09	HUMAN_OBSERVATION			2
5901038029	6-1643944	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038027	6-1643943	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			2
5901038026	6-1643942	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038025	6-1643941	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038024	6-1643940	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038012	6-1643909	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			2
5901038011	6-1639895	Procyon lotor (Linnaeus, 1758)	5218786	49.800883	5.137557	49	2025-03-25	HUMAN_OBSERVATION			1
5901038010	6-1643908	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038009	6-1643906	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038007	6-1643905	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			2
5901038006	6-1643904	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038005	6-1643903	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038002	6-1643912	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038001	6-1643911	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901038000	6-1659041	Procyon lotor (Linnaeus, 1758)	5218786	49.984275	5.348155	49	2025-04-02	HUMAN_OBSERVATION			4
5901037999	6-1643910	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901037991	6-1652863	Procyon lotor (Linnaeus, 1758)	5218786	50.333751	5.595678	49	2025-09-20	HUMAN_OBSERVATION			1
5901037990	6-1649220	Procyon lotor (Linnaeus, 1758)	5218786	50.364306	5.724735	49	2025-07-31	HUMAN_OBSERVATION		Adult	1
5901037987	6-1643919	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901037985	6-1643918	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901037983	6-1643917	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901037982	6-1643916	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901037981	6-1643915	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901037980	6-1658187	Procyon lotor (Linnaeus, 1758)	5218786	50.137761	5.326436	49	2025-03-18	HUMAN_OBSERVATION			1
5901037979	6-1643914	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901037977	6-1643913	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901037976	6-1641735	Procyon lotor (Linnaeus, 1758)	5218786	49.826285	5.724412	49	2025-04-10	HUMAN_OBSERVATION			1
5901037975	6-1640405	Procyon lotor (Linnaeus, 1758)	5218786	50.13797	5.111479	49	2025-03-13	HUMAN_OBSERVATION			5
5901037973	6-1643923	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901037971	6-1643920	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			2
5901037965	6-1661300	Procyon lotor (Linnaeus, 1758)	5218786	50.285426	5.755992	49	2025-04-10	HUMAN_OBSERVATION			4
5901037956	6-1648351	Procyon lotor (Linnaeus, 1758)	5218786	50.28586	6.236855	49	2025-04-08	HUMAN_OBSERVATION			1
5901037954	6-1639882	Procyon lotor (Linnaeus, 1758)	5218786	49.800883	5.137557	49	2025-03-18	HUMAN_OBSERVATION			3
5901037953	6-1659454	Procyon lotor (Linnaeus, 1758)	5218786	49.955538	5.2827209999999996	49	2025-04-09	HUMAN_OBSERVATION			1
5901037950	6-1643901	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901037949	6-1643900	Procyon lotor (Linnaeus, 1758)	5218786	49.881599	5.676853	2828	2020	HUMAN_OBSERVATION			1
5901037939	6-1661315	Procyon lotor (Linnaeus, 1758)	5218786	50.328414	5.748777	49	2025-03-26	HUMAN_OBSERVATION			2
5901037936	6-1648325	Procyon lotor (Linnaeus, 1758)	5218786	50.28586	6.236855	49	2025-03-25	HUMAN_OBSERVATION			2
5901037933	6-1647473	Procyon lotor (Linnaeus, 1758)	5218786	50.627847	6.108592	49	2025-04-17	HUMAN_OBSERVATION			3
5901037932	6-1639869	Procyon lotor (Linnaeus, 1758)	5218786	49.798448	5.013478	49	2025-04-08	HUMAN_OBSERVATION			1
5901037927	6-1648338	Procyon lotor (Linnaeus, 1758)	5218786	50.28586	6.236855	49	2025-04-01	HUMAN_OBSERVATION			1
5901037911	6-1639832	Procyon lotor (Linnaeus, 1758)	5218786	49.859045	5.545839	49	2025-04-03	HUMAN_OBSERVATION			7
5901037904	6-1647459	Procyon lotor (Linnaeus, 1758)	5218786	50.627847	6.108592	49	2025-04-09	HUMAN_OBSERVATION			2
5901037890	6-1640824	Procyon lotor (Linnaeus, 1758)	5218786	49.744121	5.331439	49	2025-04-01	HUMAN_OBSERVATION			3
5901037870	6-1659440	Procyon lotor (Linnaeus, 1758)	5218786	49.955538	5.2827209999999996	49	2025-04-02	HUMAN_OBSERVATION			1
