id,date,species,n_fishes,n_traps,location_id,location_name,location_x,location_y,weight,weight_total,weight_unit,weight_calibration,length,length_unit,depth,depth_unit
87,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,105.2,,g,0.1274093333631754,20.3,cm,51,cm
88,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,161.6,,g,-1.915595382452011,21.4,cm,81,cm
89,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,168.6,,g,2.0746675599366426,23.2,cm,123,cm
90,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,161.8,,g,-4.26265639718622,23.3,cm,25,cm
91,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,183.7,,g,3.008197902236134,23.8,cm,190,cm
92,2009-03-25,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,179.4,,g,2.248505037277937,23.9,cm,102,cm
93,2009-03-25,snoekbaars,1,2,81200100,Zandplaat Kastel,137700,193386,52.6,,g,-2.5869660382159054,19.3,cm,166,cm
94,2009-03-26,chinese_wolhandkrab,5,2,81200100,Zandplaat Kastel,137700,193386,,49.870898186856884,g,4.111213909927756,,cm,194,cm
95,2009-10-01,tong,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,12.1,,g,0.34476376371458173,11.3,cm,56,cm
96,2009-10-01,tong,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,10.9,,g,-0.11516301427036524,10.8,cm,174,cm
97,2009-10-01,tong,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,12.8,,g,-3.8718959246762097,11.3,cm,130,cm
98,2009-10-01,tong,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,17.6,,g,0.46429963782429695,11.7,cm,160,cm
99,2009-10-01,tong,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,13.8,,g,-1.0569587419740856,11.8,cm,21,cm
100,2009-10-01,tong,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,18.1,,g,2.5620022090151906,12,cm,140,cm
101,2009-10-01,tong,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,10.6,,g,-4.835659095551819,10.4,cm,123,cm
102,2009-10-01,tong,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,11.6,,g,-4.470044211484492,10.5,cm,95,cm
103,2009-10-01,tong,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,11.7,,g,0.7011845847591758,10.7,cm,95,cm
104,2009-10-01,tong,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,11.5,,g,2.9749227850697935,10.2,cm,54,cm
105,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2.9,,g,3.14141379436478,6.2,cm,195,cm
106,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,50.9,,g,-0.09797524427995086,16.7,cm,197,cm
107,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,5.2,,g,-4.87584691029042,7.6,cm,53,cm
108,2009-10-01,tong,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,6.2,,g,3.95371210295707,7.6,cm,34,cm
109,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,4.7,,g,3.883702412713319,7.3,cm,52,cm
110,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,351.8,,g,0.7436070893891156,28.6,cm,51,cm
111,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,4.2,,g,4.359618611633778,7.3,cm,112,cm
112,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,5,,g,-2.3906400497071445,8,cm,160,cm
113,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,3.7,,g,-1.2985460460186005,7.1,cm,154,cm
114,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,5.5,,g,-1.5603750315494835,8.1,cm,35,cm
115,2009-10-01,baars,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,123.6,,g,2.5448241038247943,31.4,cm,144,cm
