AB_r,Bacterial_genotype,Phage_t,OD_0h,OD_20h,OD_72h,Survival_72h,PhageR_72h
sensitive,WT,C_noPhage,0.162,0.8265,0.8347,1,NA
sensitive,WT,C_noPhage,0.0798,0.7038,0.7746,1,NA
sensitive,WT,C_noPhage,0.1,0.6982,0.8079,1,NA
sensitive,WT,C_noPhage,0.0836,0.7319,0.8061,1,NA
sensitive,WT,C_noPhage,0.0774,0.7798,0.8328,1,NA
sensitive,WT,C_noPhage,0.1086,0.7149,0.6214,1,NA
sensitive,WT,C_noPhage,0.1593,0.7283,0.6165,1,NA
sensitive,WT,C_noPhage,0.1482,0.7448,0.6441,1,NA
sensitive,WT,C_noPhage,0.1971,0.7623,0.7,1,NA
sensitive,WT,C_noPhage,0.1461,0.7966,0.8343,1,NA
Str,K43N,C_noPhage,0.16,0.4721,0.6188,1,NA
Str,K43N,C_noPhage,0.1357,0.4544,0.6188,1,NA
Str,K43N,C_noPhage,0.1588,0.5721,0.6443,1,NA
Str,K43N,C_noPhage,0.1201,0.5571,0.6166,1,NA
Str,K43N,C_noPhage,0.1296,0.5109,0.632,1,NA
Str,K43N,C_noPhage,0.1172,0.5686,0.6213,1,NA
Str,K43N,C_noPhage,0.1334,0.5275,0.6468,1,NA
Str,K43N,C_noPhage,0.1159,0.4578,0.6396,1,NA
Str,K43N,C_noPhage,0.1027,0.5707,0.6272,1,NA
Str,K43N,C_noPhage,0.0981,0.5049,0.6252,1,NA
Str,K43N,C_noPhage,0.1034,0.5382,0.6416,1,NA
Str,K43N,C_noPhage,0.0886,0.5269,0.6409,1,NA
Str,K43N,C_noPhage,0.0996,0.5416,0.6584,1,NA
Str,K43N,C_noPhage,0.0772,0.5861,0.6366,1,NA
Str,K43N,C_noPhage,0.0927,0.5432,0.6545,1,NA
Str,K43N,C_noPhage,0.0899,0.5654,0.6519,1,NA
Str,K43N,C_noPhage,0.0891,0.5405,0.6524,1,NA
Str,K43N,C_noPhage,0.0713,0.6408,0.6572,1,NA
Str,K43N,C_noPhage,0.097,0.5628,0.6852,1,NA
Str,K43N,C_noPhage,0.0594,0.6333,0.6934,1,NA
Str,K43N,C_noPhage,0.0963,0.4897,0.6207,1,NA
Str,K43N,C_noPhage,0.0754,0.4805,0.629,1,NA
Str,K43N,C_noPhage,0.0744,0.627,0.6519,1,NA
Str,K43N,C_noPhage,0.1053,0.545,0.6992,1,NA
Str,K88R,C_noPhage,0.1826,0.5755,0.6963,1,NA
Str,K88R,C_noPhage,0.17,0.7285,0.7353,1,NA
Str,K88R,C_noPhage,0.0836,0.6845,0.702,1,NA
Str,K88R,C_noPhage,0.0862,0.7177,0.7061,1,NA
Str,K88R,C_noPhage,0.0933,0.7714,0.7133,1,NA
Str,K88R,C_noPhage,0.0874,0.5857,0.7136,1,NA
Str,K88R,C_noPhage,0.2709,0.7771,0.7291,1,NA
Str,K88R,C_noPhage,0.2431,0.7673,0.7107,1,NA
Str,K88R,C_noPhage,0.169,0.6931,0.7072,1,NA
Str,K88R,C_noPhage,0.1669,0.7253,0.7104,1,NA
Str,K88R,C_noPhage,0.1037,0.7117,0.7072,1,NA
Str,K88R,C_noPhage,0.121,0.787,0.7266,1,NA
Str,K88R,C_noPhage,0.0969,0.7201,0.7065,1,NA
Str,K88R,C_noPhage,0.1118,0.6605,0.7216,1,NA
Str,K88R,C_noPhage,0.1266,0.7698,0.7371,1,NA
Str,K88R,C_noPhage,0.0968,0.7354,0.7095,1,NA
Str,K88R,C_noPhage,0.0924,0.7019,0.7076,1,NA
Str,K88R,C_noPhage,0.0947,0.7468,0.7115,1,NA
Str,K88R,C_noPhage,0.1004,0.675,0.7223,1,NA
Str,K88R,C_noPhage,0.0727,0.6839,0.7057,1,NA
Str,K88R,C_noPhage,0.0923,0.7385,0.7277,1,NA
Str,K88R,C_noPhage,0.1125,0.8088,0.7565,1,NA
Str,K88R,C_noPhage,0.1212,0.8105,0.7676,1,NA
Str,K88R,C_noPhage,0.1049,0.8004,0.7521,1,NA
Tet,RP4,C_noPhage,0.1785,0.6441,0.7063,1,NA
Tet,RP4,C_noPhage,0.0999,0.6436,0.6663,1,NA
Tet,RP4,C_noPhage,0.0852,0.6039,0.7446,1,NA
Tet,RP4,C_noPhage,0.0808,0.6867,0.7786,1,NA
Tet,RP4,C_noPhage,0.1146,0.6485,0.8128,1,NA
Tet,RP4,C_noPhage,0.1502,0.5798,0.6322,1,NA
Tet,RP4,C_noPhage,0.1937,0.622,0.7059,1,NA
Tet,RP4,C_noPhage,0.1105,0.5967,0.6641,1,NA
Tet,RP4,C_noPhage,0.129,0.7107,0.7015,1,NA
Tet,RP4,C_noPhage,0.1246,0.6923,0.707,1,NA
Tet,RP4,C_noPhage,0.1381,0.6969,0.7222,1,NA
Tet,RP4,C_noPhage,0.1525,0.6177,0.7481,1,NA
Tet,RP4,C_noPhage,0.0926,0.6455,0.6889,1,NA
Tet,RP4,C_noPhage,0.0978,0.6885,0.7063,1,NA
Tet,RP4,C_noPhage,0.1428,0.6658,0.7588,1,NA
Tet,RP4,C_noPhage,0.1311,0.6734,0.7654,1,NA
Tet,RP4,C_noPhage,0.0784,0.5978,0.7347,1,NA
Tet,RP4,C_noPhage,0.085,0.6585,0.7641,1,NA
Tet,RP4,C_noPhage,0.0922,0.6872,0.8129,1,NA
Tet,RP4,C_noPhage,0.0763,0.661,0.8004,1,NA
Tet,RP4,C_noPhage,0.067,0.5586,0.6736,1,NA
Tet,RP4,C_noPhage,0.1394,0.6853,0.7899,1,NA
Tet,RP4,C_noPhage,0.1461,0.7362,0.8109,1,NA
Tet,RP4,C_noPhage,0.1144,0.7064,0.7994,1,NA
Str,RSF1010,C_noPhage,0.1649,0.6836,0.7077,1,NA
Str,RSF1010,C_noPhage,0.1514,0.6969,0.6993,1,NA
Str,RSF1010,C_noPhage,0.1713,0.7113,0.723,1,NA
Str,RSF1010,C_noPhage,0.1114,0.7161,0.7184,1,NA
Str,RSF1010,C_noPhage,0.1031,0.728,0.7442,1,NA
Str,RSF1010,C_noPhage,0.0862,0.6982,0.7484,1,NA
Str,RSF1010,C_noPhage,0.0947,0.6929,0.7983,1,NA
Str,RSF1010,C_noPhage,0.1125,0.7641,0.8254,1,NA
Str,RSF1010,C_noPhage,0.1049,0.7602,0.8319,1,NA
Str,RSF1010,C_noPhage,0.103,0.699,0.8606,1,NA
Str,RSF1010,C_noPhage,0.1031,0.6696,0.6241,1,NA
Str,RSF1010,C_noPhage,0.1744,0.7019,0.721,1,NA
Str,RSF1010,C_noPhage,0.1037,0.6392,0.6552,1,NA
Str,RSF1010,C_noPhage,0.0677,0.5697,0.7064,1,NA
Str,RSF1010,C_noPhage,0.0969,0.7034,0.7366,1,NA
Str,RSF1010,C_noPhage,0.1089,0.7352,0.7572,1,NA
Str,RSF1010,C_noPhage,0.0744,0.6023,0.74,1,NA
Str,RSF1010,C_noPhage,0.1012,0.7396,0.7916,1,NA
Str,RSF1010,C_noPhage,0.121,0.7351,0.821,1,NA
Str,RSF1010,C_noPhage,0.1212,0.7419,0.8355,1,NA
Str,RSF1010,C_noPhage,0.0968,0.7092,0.8141,1,NA
Str,RSF1010,C_noPhage,0.1162,0.7247,0.8628,1,NA
Str,RSF1010,C_noPhage,0.1386,0.6781,0.6735,1,NA
Str,RSF1010,C_noPhage,0.1682,0.6932,0.7309,1,NA
Rif,S512F,C_noPhage,0.1641,0.6415,0.7267,1,NA
Rif,S512F,C_noPhage,0.0685,0.6931,0.7032,1,NA
Rif,S512F,C_noPhage,0.0717,0.7298,0.7074,1,NA
Rif,S512F,C_noPhage,0.0653,0.7624,0.7072,1,NA
Rif,S512F,C_noPhage,0.0644,0.7828,0.7436,1,NA
Rif,S512F,C_noPhage,0.2701,0.5592,0.686,1,NA
Rif,S512F,C_noPhage,0.2625,0.542,0.6812,1,NA
Rif,S512F,C_noPhage,0.1546,0.6655,0.7191,1,NA
Rif,S512F,C_noPhage,0.1407,0.6498,0.7115,1,NA
Rif,S512F,C_noPhage,0.1523,0.6475,0.7585,1,NA
Rif,S512F,C_noPhage,0.0764,0.6153,0.6884,1,NA
Rif,S512F,C_noPhage,0.0797,0.6251,0.6922,1,NA
Rif,S512F,C_noPhage,0.0843,0.6394,0.7002,1,NA
Rif,S512F,C_noPhage,0.0672,0.6903,0.6869,1,NA
Rif,S512F,C_noPhage,0.0605,0.667,0.6914,1,NA
Rif,S512F,C_noPhage,0.066,0.5981,0.6971,1,NA
Rif,S512F,C_noPhage,0.0678,0.6619,0.7007,1,NA
Rif,S512F,C_noPhage,0.0549,0.746,0.6959,1,NA
Rif,S512F,C_noPhage,0.0538,0.7847,0.7084,1,NA
Rif,S512F,C_noPhage,0.0936,0.7634,0.7555,1,NA
Rif,S512F,C_noPhage,0.0574,0.6593,0.6866,1,NA
Rif,S512F,C_noPhage,0.2307,0.6089,0.6881,1,NA
Rif,S512F,C_noPhage,0.203,0.5806,0.703,1,NA
Rif,S512F,C_noPhage,0.0645,0.6816,0.6789,1,NA
Cip,S83L,C_noPhage,0.2365,0.7695,0.7247,1,NA
Cip,S83L,C_noPhage,0.2173,0.7498,0.7124,1,NA
Cip,S83L,C_noPhage,0.1588,0.6133,0.6951,1,NA
Cip,S83L,C_noPhage,0.1099,0.7981,0.7203,1,NA
Cip,S83L,C_noPhage,0.108,0.7303,0.7235,1,NA
Cip,S83L,C_noPhage,0.2358,0.7641,0.7423,1,NA
Cip,S83L,C_noPhage,0.16,0.6037,0.7027,1,NA
Cip,S83L,C_noPhage,0.1659,0.7628,0.7541,1,NA
Cip,S83L,C_noPhage,0.1284,0.7564,0.7182,1,NA
Cip,S83L,C_noPhage,0.1263,0.7244,0.7279,1,NA
Cip,S83L,C_noPhage,0.1288,0.7408,0.7322,1,NA
Cip,S83L,C_noPhage,0.1428,0.7213,0.7483,1,NA
Cip,S83L,C_noPhage,0.1173,0.7327,0.7249,1,NA
Cip,S83L,C_noPhage,0.1034,0.756,0.7197,1,NA
Cip,S83L,C_noPhage,0.1076,0.8204,0.7266,1,NA
Cip,S83L,C_noPhage,0.1053,0.7782,0.7371,1,NA
Cip,S83L,C_noPhage,0.095,0.8241,0.7352,1,NA
Cip,S83L,C_noPhage,0.106,0.8056,0.7569,1,NA
Cip,S83L,C_noPhage,0.0985,0.8202,0.7524,1,NA
Cip,S83L,C_noPhage,-0.0008,0.8324,0.7365,1,NA
Cip,S83L,C_noPhage,0.1357,0.5776,0.7034,1,NA
Cip,S83L,C_noPhage,0.1159,0.5888,0.7195,1,NA
Cip,S83L,C_noPhage,0.1334,0.7775,0.7374,1,NA
Cip,S83L,C_noPhage,0.0927,0.7598,0.7123,1,NA
sensitive,MUT,C_noPhage,0.1012,0.8009,0.7837,1,NA
sensitive,MUT,C_noPhage,0.0955,0.7167,0.7832,1,NA
sensitive,MUT,C_noPhage,0.0809,0.7445,0.8285,1,NA
sensitive,MUT,C_noPhage,0.0654,0.7528,0.836,1,NA
sensitive,MUT,C_noPhage,0.0674,0.7601,0.8409,1,NA
sensitive,MUT,C_noPhage,0.2431,0.69,0.682,1,NA
sensitive,MUT,C_noPhage,0.17,0.7208,0.6456,1,NA
sensitive,MUT,C_noPhage,0.2709,0.7507,0.7605,1,NA
sensitive,MUT,C_noPhage,0.1744,0.7006,0.6718,1,NA
sensitive,MUT,C_noPhage,0.169,0.7559,0.6707,1,NA
sensitive,MUT,C_noPhage,0.1826,0.7006,0.6915,1,NA
sensitive,MUT,C_noPhage,0.1713,0.6993,0.7055,1,NA
sensitive,MUT,C_noPhage,0.1266,0.6545,0.6621,1,NA
sensitive,MUT,C_noPhage,0.1114,0.6508,0.6533,1,NA
sensitive,MUT,C_noPhage,0.1682,0.6932,0.7205,1,NA
sensitive,MUT,C_noPhage,0.1669,0.7581,0.7362,1,NA
sensitive,MUT,C_noPhage,0.1386,0.7276,0.7551,1,NA
sensitive,MUT,C_noPhage,0.1118,0.7356,0.7363,1,NA
sensitive,MUT,C_noPhage,0.1031,0.7788,0.781,1,NA
sensitive,MUT,C_noPhage,0.1089,0.7777,0.7983,1,NA
sensitive,MUT,C_noPhage,0.0706,0.7054,0.7901,1,NA
sensitive,MUT,C_noPhage,0.0533,0.7066,0.7795,1,NA
sensitive,MUT,C_noPhage,0.0656,0.706,0.7454,1,NA
sensitive,MUT,C_noPhage,0.0814,0.747,0.8163,1,NA
Rif,D516G,L,0.048,0.3326,0.5736,1,1
Rif,D516G,L,0.0942,0.246,0.6227,1,1
Rif,D516G,L,0.0409,0.2605,0.5737,1,1
Rif,D516G,L,0.1388,0.3279,0.7119,1,1
Rif,D516G,L,0.1019,0.2884,0.6761,1,1
Rif,D516G,L,0.0298,0.4095,0.6163,1,1
Rif,D516G,L,0.0337,0.3186,0.6291,1,1
Rif,D516G,L,0.0308,0.3208,0.6303,1,1
Rif,D516G,L,0.1188,0.4079,0.7466,1,1
Rif,D516G,L,0.1038,0.432,0.734,1,1
Rif,D516G,L,0.0543,0.4426,0.6926,1,1
Rif,D516G,L,0.03,0.2946,0.6721,1,1
Rif,D516G,L,0.0725,0.5584,0.7182,1,1
Rif,D516G,L,0.1164,0.2282,0.7698,1,1
Rif,D516G,L,0.082,0.6417,0.7455,1,1
Rif,D516G,L,0.0835,0.4804,0.7532,1,1
Rif,D516G,L,0.0516,0.4159,0.7231,1,1
Rif,D516G,L,0.0571,0.3726,0.7365,1,1
Rif,D516G,L,0.0566,0.3738,0.7475,1,1
Rif,D516G,L,0.0712,0.5441,0.7772,1,1
Rif,D516G,L,0.0701,0.6361,0.8078,1,1
Rif,D516G,L,0.0558,0.5999,0.8265,1,1
Rif,D516G,L,0.0528,0.4809,0.9051,1,1
Rif,D516G,L,0.0549,0.5986,0.921,1,1
Cip,D87G,L,0.0432,0.6625,0.4988,1,1
Cip,D87G,L,0.0485,0.6512,0.5224,1,1
Cip,D87G,L,0.0707,0.3128,0.6253,1,1
Cip,D87G,L,0.0706,0.2639,0.6288,1,1
Cip,D87G,L,0.0393,0.4945,0.6466,1,1
Cip,D87G,L,0.0371,0.6475,0.6528,1,1
Cip,D87G,L,0.0368,0.3346,0.6623,1,1
Cip,D87G,L,0.0433,0.4724,0.6756,1,1
Cip,D87G,L,0.176,0.4635,0.8089,1,1
Cip,D87G,L,0.0931,0.7644,0.7336,1,1
Cip,D87G,L,0.0354,0.4323,0.7,1,1
Cip,D87G,L,0.0714,0.8092,0.7378,1,1
Cip,D87G,L,0.0767,0.7528,0.7481,1,1
Cip,D87G,L,0.1238,0.3857,0.8248,1,1
Cip,D87G,L,0.0531,0.5538,0.7919,1,1
Cip,D87G,L,0.1267,0.5043,0.8735,1,1
Cip,D87G,L,0.0427,0.3773,0.8453,1,1
Cip,D87G,L,0.0623,0.6411,0.9559,1,1
Cip,D87G,L,0.0621,0.307,0.5867,1,1
Cip,D87G,L,0.1009,0.2821,0.6652,1,1
Cip,D87G,L,0.0419,0.6444,0.6277,1,1
Cip,D87G,L,0.0544,0.7923,0.7356,1,1
Cip,D87G,L,0.0386,0.4861,0.7447,1,1
Cip,D87G,L,0.111,0.4552,0.8891,1,1
sensitive,WT,L,0.0492,0.3221,0.5467,1,1
sensitive,WT,L,0.0424,0.4784,0.5618,1,1
sensitive,WT,L,0.0392,0.5251,0.6059,1,1
sensitive,WT,L,0.241,0.3956,0.8453,1,1
sensitive,WT,L,0.037,0.2727,0.6452,1,1
sensitive,WT,L,0.076,0.2905,0.6859,1,1
sensitive,WT,L,0.0833,0.3521,0.6973,1,1
sensitive,WT,L,0.1213,0.3922,0.7464,1,1
sensitive,WT,L,0.0224,0.3726,0.6486,1,1
sensitive,WT,L,0.069,0.356,0.7043,1,1
sensitive,WT,L,0.052,0.3533,0.7124,1,1
sensitive,WT,L,0.0366,0.2291,0.7096,1,1
sensitive,WT,L,0.104,0.3489,0.7916,1,1
sensitive,WT,L,0.0435,0.4804,0.7831,1,1
sensitive,WT,L,0.199,0.5639,0.9449,1,1
sensitive,WT,L,0.0687,0.5584,0.8655,1,1
sensitive,WT,L,0.0467,0.5999,0.8612,1,1
sensitive,WT,L,0.0448,0.4426,0.8713,1,1
sensitive,WT,L,0.0483,0.4159,0.9044,1,1
sensitive,WT,L,0.048,0.6361,0.9349,1,1
sensitive,WT,L,0.0532,0.6417,1.0197,1,1
sensitive,WT,L,0.0781,0.3578,0.655,1,1
sensitive,WT,L,0.0504,0.4737,0.657,1,1
Str,K43N,L,0.0369,0.1549,0.4905,1,1
Str,K43N,L,0.0655,0.1676,0.5337,1,1
Str,K43N,L,0.0573,0.153,0.5415,1,1
Str,K43N,L,0.1197,0.1785,0.6789,1,1
Str,K43N,L,0.0594,0.3211,0.6257,1,1
Str,K43N,L,0.0235,0.3454,0.5994,1,1
Str,K43N,L,0.0441,0.2432,0.6444,1,1
Str,K43N,L,0.0749,0.5295,0.6988,1,1
Str,K43N,L,0.0571,0.2736,0.6941,1,1
Str,K43N,L,0.0208,0.2921,0.6835,1,1
Str,K43N,L,0.0407,0.3506,0.709,1,1
Str,K43N,L,0.0616,0.6203,0.7358,1,1
Str,K43N,L,0.0834,0.4753,0.779,1,1
Str,K43N,L,0.0451,0.5261,0.7471,1,1
Str,K43N,L,0.073,0.3813,0.7801,1,1
Str,K43N,L,0.0765,0.3078,0.7941,1,1
Str,K43N,L,0.0799,0.5013,0.8222,1,1
Str,K43N,L,0.0396,0.39,0.8064,1,1
Str,K43N,L,0.0672,0.4635,0.8826,1,1
Str,K43N,L,0.0456,0.2803,0.8678,1,1
Str,K43N,L,0.0544,0.5001,0.9342,1,1
Str,K43N,L,0.0544,0.5584,0.9482,1,1
Str,K43N,L,0.0266,0.1607,0.5775,1,1
Str,K43N,L,0.0228,0.3162,0.7259,1,1
Str,K88R,L,0.0708,0.2692,0.5826,1,1
Str,K88R,L,0.1599,0.5555,0.7803,1,1
Str,K88R,L,0.0717,0.6813,0.6998,1,1
Str,K88R,L,0.0701,0.6885,0.6999,1,1
Str,K88R,L,0.0892,0.3117,0.7319,1,1
Str,K88R,L,0.0436,0.5761,0.7133,1,1
Str,K88R,L,0.0995,0.4388,0.7753,1,1
Str,K88R,L,0.0529,0.6562,0.7293,1,1
Str,K88R,L,0.0702,0.5159,0.7617,1,1
Str,K88R,L,0.0464,0.6306,0.7725,1,1
Str,K88R,L,0.1707,0.4289,0.909,1,1
Str,K88R,L,0.0433,0.5911,0.7932,1,1
Str,K88R,L,0.0626,0.7423,0.818,1,1
Str,K88R,L,0.0432,0.5484,0.8157,1,1
Str,K88R,L,0.1522,0.5401,0.9548,1,1
Str,K88R,L,0.0422,0.5732,0.8623,1,1
Str,K88R,L,0.1372,0.5038,0.9604,1,1
Str,K88R,L,0.0345,0.615,0.919,1,1
Str,K88R,L,0.0504,0.6866,0.995,1,1
Str,K88R,L,0.0635,0.376,0.5913,1,1
Str,K88R,L,0.0554,0.7775,0.652,1,1
Str,K88R,L,0.0529,0.7562,0.6524,1,1
Str,K88R,L,0.0628,0.7489,0.6856,1,1
Str,K88R,L,0.0666,0.6886,0.8194,1,1
Tet,RP4,L,0.1885,0.2988,0.719,1,1
Tet,RP4,L,0.0236,0.3221,0.561,1,1
Tet,RP4,L,0.0252,0.3533,0.5768,1,1
Tet,RP4,L,0.0272,0.2291,0.5935,1,1
Tet,RP4,L,0.1169,0.5441,0.7155,1,1
Tet,RP4,L,0.0516,0.3738,0.6799,1,1
Tet,RP4,L,0.0549,0.3186,0.6833,1,1
Tet,RP4,L,0.1419,0.3576,0.8149,1,1
Tet,RP4,L,0.03,0.2727,0.7203,1,1
Tet,RP4,L,0.1093,0.4784,0.8064,1,1
Tet,RP4,L,0.1008,0.4095,0.8076,1,1
Tet,RP4,L,0.0682,0.5986,0.8775,1,1
Tet,RP4,L,0.1228,0.5251,0.9399,1,1
Tet,RP4,L,0.0708,0.3208,0.8924,1,1
Tet,RP4,L,0.0858,0.4737,0.9648,1,1
Tet,RP4,L,0.1162,0.328,0.7354,1,1
Tet,RP4,L,0.1333,0.4852,0.7615,1,1
Tet,RP4,L,0.1479,0.367,0.7868,1,1
Tet,RP4,L,0.1393,0.3438,0.7795,1,1
Tet,RP4,L,0.1287,0.324,0.8097,1,1
Tet,RP4,L,0.1175,0.4809,0.7995,1,1
Tet,RP4,L,0.0404,0.2946,0.7758,1,1
Tet,RP4,L,0.1198,0.3938,0.9159,1,1
Str,RSF1010,L,0.1003,0.2405,0.6575,1,1
Str,RSF1010,L,0.0921,0.3685,0.6657,1,1
Str,RSF1010,L,0.027,0.3288,0.603,1,1
Str,RSF1010,L,0.0268,0.4988,0.6264,1,1
Str,RSF1010,L,0.025,0.4828,0.6431,1,1
Str,RSF1010,L,0.0294,0.3734,0.6515,1,1
Str,RSF1010,L,0.0464,0.5159,0.6956,1,1
Str,RSF1010,L,0.0282,0.3093,0.6871,1,1
Str,RSF1010,L,0.1066,0.2942,0.7661,1,1
Str,RSF1010,L,0.0562,0.7423,0.7179,1,1
Str,RSF1010,L,0.0349,0.3613,0.7063,1,1
Str,RSF1010,L,0.1617,0.4976,0.8395,1,1
Str,RSF1010,L,0.0919,0.4144,0.7972,1,1
Str,RSF1010,L,0.0446,0.189,0.7674,1,1
Str,RSF1010,L,0.0488,0.5484,0.7718,1,1
Str,RSF1010,L,0.044,0.6866,0.767,1,1
Str,RSF1010,L,0.125,0.4774,0.8517,1,1
Str,RSF1010,L,0.026,0.4663,0.7659,1,1
Str,RSF1010,L,0.0523,0.5761,0.831,1,1
Str,RSF1010,L,0.0567,0.6306,0.882,1,1
Str,RSF1010,L,0.0427,0.5732,0.9579,1,1
Str,RSF1010,L,0.0413,0.615,0.9708,1,1
Str,RSF1010,L,0.1252,0.4259,0.766,1,1
Str,RSF1010,L,0.1285,0.4188,0.8246,1,1
Rif,S512F,L,0.0434,0.1532,0.5491,1,1
Rif,S512F,L,0.0424,0.1999,0.5788,1,1
Rif,S512F,L,0.0221,0.2051,0.5852,1,1
Rif,S512F,L,0.0632,0.2694,0.6579,1,1
Rif,S512F,L,0.0201,0.2574,0.6336,1,1
Rif,S512F,L,0.0405,0.4945,0.6903,1,1
Rif,S512F,L,0.0234,0.3042,0.6759,1,1
Rif,S512F,L,0.0227,0.3455,0.6892,1,1
Rif,S512F,L,0.0365,0.4861,0.7247,1,1
Rif,S512F,L,0.0456,0.3898,0.7526,1,1
Rif,S512F,L,0.0285,0.4724,0.737,1,1
Rif,S512F,L,0.0265,0.4115,0.7532,1,1
Rif,S512F,L,0.0396,0.6411,0.8183,1,1
Rif,S512F,L,0.0494,0.248,0.6031,1,1
Rif,S512F,L,0.0302,0.3773,0.5874,1,1
Rif,S512F,L,0.0553,0.178,0.6167,1,1
Rif,S512F,L,0.0178,0.2356,0.6114,1,1
Rif,S512F,L,0.0339,0.5538,0.6374,1,1
Rif,S512F,L,0.0277,0.3346,0.6645,1,1
Rif,S512F,L,0.0579,0.2707,0.6992,1,1
Rif,S512F,L,0.0726,0.2782,0.728,1,1
Rif,S512F,L,0.0317,0.2373,0.6989,1,1
Rif,S512F,L,0.0597,0.3525,0.7322,1,1
Rif,S512F,L,0.033,0.4323,0.7135,1,1
Cip,S83L,L,0.0771,0.2769,0.6332,1,1
Cip,S83L,L,0.2465,0.4746,0.8448,1,1
Cip,S83L,L,0.1286,0.5295,0.7284,1,1
Cip,S83L,L,0.0537,0.5457,0.6546,1,1
