TAG,LU1,LU2,LU3,cbc_Onbeb,cbc_Groen,cbc_Natuur,Alle_gewgemSCORE,RL_gewgemSCORE,RL/ALL,Rlpercent
DS7631,3.290796442,3.291695813,3.361147197,15.21480274,0.109115459,0.101143591,21.09541413,129.6246763,6.144685072,28.91011843
DS7632,4.047966424,4.050964325,4.153692415,14.98755169,0.00217125,0.001889807,9.780338666,46.95335216,4.80079001,10.47197965
DS7633,4.12281403,4.130208854,4.211252124,15.09959888,0.00210037,0,7.664127446,31.78194281,4.146844247,7.088308777
DS7634,4.014689717,4.025981813,4.067852503,10.31618595,0.018659059,0.016330039,10.87935209,34.14549981,3.138560048,7.615451561
DS7635,3.280703508,3.281702808,3.345258319,9.172503471,0.180406749,0.177666306,17.67076269,132.5976894,7.503789834,29.57318788
DS7636,4.113132121,4.113631821,4.313511893,9.090932846,0.001936628,0.001784829,10.17674526,56.5878489,5.56050559,12.62075602
DS7637,3.942545963,3.950439648,3.986310951,9.451808929,0.002815897,0.002214229,8.848106136,50.75784541,5.736577368,11.32049363
DS7638,4.030578595,4.030678525,4.172479265,7.721981525,0.0000159,0,9.578742022,81.61186453,8.520102571,18.20184811
DS7639,4.030375699,4.03057554,4.185251799,6.179487705,0.0000171,0,9.027626287,50.74811996,5.621424541,11.31832457
DS7640,4.058353317,4.059552358,4.231514788,6.136440754,0.000139778,0,8.199616743,47.53061181,5.796687004,10.60072554
DS7641,4.072242206,4.072342126,4.115607514,6.580886364,0.0000394,0,8.954807411,68.33564658,7.631168761,15.24086071
DS7642,3.937837298,3.940035978,3.99960024,6.5720191,0.0000923,0.00000797,9.772453234,59.68932451,6.107916107,13.31247638
DS7643,3.566403518,3.569301489,3.622863995,4.303817272,0.011015938,0.009345579,14.4909053,95.26688724,6.574253661,21.24732012
DS7644,4.05676594,4.058265041,4.119628223,3.588710785,0.001489396,0.00123257,8.101902597,28.76209622,3.550042213,6.414794097
DS7645,4.118528883,4.118928643,4.36228263,5.142710209,0.0000201,0,9.488743584,63.03637962,6.643279909,14.05896819
DS7646,4.063355651,4.064754672,4.237633656,4.763236046,0.000221435,0.00000123,9.963924147,42.84961249,4.300475582,9.556724903
DS7647,4.08254222,4.083341661,4.234335965,5.891469955,0.000244459,0.00000018,9.88874797,68.80747311,6.958158235,15.34609192
DS7648,4.094652674,4.095552224,4.135532234,6.348316193,0.000107466,0.00000017,11.29415074,101.8321615,9.016362881,22.71156954
DS7649,3.81702808,3.819226541,3.882582192,5.508843422,0.000355241,0.00000045,9.129795554,36.81173815,4.032044084,8.210101195
DS7650,3.947841727,3.948541167,3.95293765,3.710352898,0.000103307,0,10.35868491,79.08947391,7.635088291,17.63928075
DS7651,4.011290967,4.013689049,4.116207034,3.851095438,0.000652098,0,9.724377532,70.30126003,7.229384071,15.67925037
DS7652,4.191047162,4.191147082,4.409472422,7.306416035,0.0000368,0,10.49814822,83.02787775,7.908811724,18.51766074
DS7653,3.985311751,3.985311751,4.319144684,7.708256721,0.000507564,0,12.13199769,101.9976512,8.407325307,22.7484786
DS7654,3.969518289,3.969818109,4.059164501,7.491151333,0.0000429,0.0000333,12.82265418,100.0193167,7.800203862,22.30725178
DS7655,3.894584333,3.895183853,3.90627498,6.369128227,0.000156795,0.0000959,14.00867754,96.43373696,6.883857287,21.50756196
DS7656,4.228017586,4.251298961,4.251298961,0.491514683,0.002870044,0.001161621,15.75773629,49.53997917,3.143851265,11.04887361
DS7657,4.158273381,4.200339728,4.200339728,0.037815727,0.005262929,0,20.00417889,63.7314743,3.185908037,14.21399476
DS7658,4.1872502,4.215227818,4.227118305,0.219148785,0.00462593,0.00000002,17.36303729,65.98364045,3.800236061,14.71629411
DS7659,3.883693046,3.884792166,3.993405276,1.680332065,0.003327498,0.00000628,13.57536656,87.32881562,6.432888219,19.47689649
DS7660,3.889077646,3.889577296,4.029579294,3.399317265,0.000340791,0.0000853,12.28206994,95.20486698,7.751532716,21.23348778
DS7661,4.009891098,4.011689479,4.072634629,3.270452976,0.002580917,0.0000203,12.50100967,82.27816569,6.581721624,18.35045288
DS7662,2.909972022,2.923760991,2.923960831,1.666873097,1.265877724,0.709633172,23.59201386,179.2893129,7.599576449,39.98679433
DS7663,2.166866507,2.170763389,2.170763389,2.712225676,2.525508881,1.568353534,24.67607488,240.5647662,9.74890729,53.65302412
DS7664,2.800985941,2.80408983,2.80408983,8.74649334,8.574728012,8.029047966,22.87052906,213.9499058,9.354829757,47.71712681
DS7729,3.988353236,3.998673153,4.070765148,,,,11.36220525,83.06171562,7.310351623,18.52520758
DS7730,4.033676427,4.043269711,4.141101229,3.297877789,0.000410523,0.000000999,9.254167798,62.37294192,6.739983895,13.91100205
DS7731,4.071442846,4.074940048,4.164968026,13.40620995,0.004551049,0.004039518,8.788503244,64.77184633,7.370065702,14.44602835
DS7732,4.113309353,4.118005596,4.119204636,15.05075073,0.000113409,0.0000386,8.226760753,35.17845441,4.276100335,7.845830844
DS7733,4.012589928,4.01508793,4.166366906,14.8014307,0.001447862,0,8.604611193,32.53350133,3.780937988,7.255928451
DS7734,4.036578053,4.038676794,4.098740756,9.705964088,0.000285069,9.99E-09,8.214444636,32.14333478,3.91302592,7.168909824
DS7735,3.71330069,3.723393624,3.784550814,9.021686554,0.061947264,0.055121731,15.66671643,70.29651974,4.486997646,15.67819315
DS7736,3.75862069,3.767616192,3.926436782,10.01347351,0.019766888,0.010176012,12.48068388,40.70368175,3.261334245,9.07811918
DS7737,3.850404717,3.853602478,3.854401919,10.08019447,0.016717687,0.013682823,13.37079328,57.43748464,4.295742478,12.8102498
DS7738,3.995403218,3.998501049,4.055860897,9.119947433,0.008430219,0.002819297,9.952960322,49.02916065,4.926088226,10.93494604
DS7739,4.036674328,4.038273209,4.105126412,8.506624222,0.000424893,0.00000023,7.523210093,25.19571873,3.349064884,5.619386936
DS7740,4.038077154,4.040375775,4.140415751,6.967739105,0.000417849,0,8.550703777,45.8981977,5.367768419,10.23664914
DS7741,4.129622227,4.130321807,4.362882271,8.867098808,0.0000424,0,7.944604227,37.27820823,4.692267501,8.314137753
DS7742,3.984907546,3.985307346,4.098650675,9.559746742,0.000173553,0.00000064,8.718706356,46.44405072,5.326942877,10.35839043
DS7743,3.878796962,3.881894484,3.928157474,8.110476494,0.004299751,0.003778787,11.61566465,64.4072315,5.544859761,14.36470851
DS7744,3.688717897,3.689017688,3.722094534,2.725682735,0.018626792,0.018187927,10.73962293,67.57411398,6.292037848,15.07101652
DS7745,4.057154277,4.057553957,4.147881695,5.520401478,0.0000197,0,9.07408103,51.34244785,5.658142976,11.45087718
DS7746,3.932553957,3.932953637,4.04716227,5.265594006,0.000455136,0.00018769,9.466537053,39.88789534,4.213567762,8.896174798
DS7747,3.899280576,3.902478018,4.138589129,6.287181854,0.0000691,0.00000023,9.731430932,61.08760757,6.277350987,13.62433466
DS7748,4.003098141,4.003397961,4.211273236,6.479385853,0.0000047,0,9.729886859,71.58408692,7.357134565,15.96535853
DS7749,4.065747402,4.066147082,4.084532374,6.393172741,0.000170214,0,9.560185869,66.25748075,6.930564077,14.77736856
DS7750,4.029076739,4.030075939,4.106414868,4.522143841,0.000109123,0,8.325365716,34.99367155,4.203259381,7.804618826
DS7751,4.139702208,4.140101929,4.278205256,3.445715427,0.0000573,0.00000441,9.444800617,47.02967167,4.979424509,10.48900114
DS7752,4.150579536,4.151278977,4.222322142,4.311525345,0.000139888,0,10.89855188,66.94420525,6.142486266,14.93052834
DS7753,4.056055156,4.056754596,4.23431255,4.464443684,0.00035039,0.000246313,13.56727025,93.59826454,6.898828049,20.87516814
DS7754,3.786549415,3.787049066,3.950234836,3.550183773,0.000455241,0.00039955,11.2962046,56.49321943,5.001079694,12.59965086
DS7755,3.773980815,3.775179856,3.81235012,2.230362892,0.000205685,0.00000246,16.42723765,133.3489912,8.117554156,29.7407503
DS7756,4.06235012,4.070043965,4.126099121,0.506333709,0.000461401,0.0000633,16.0738952,73.06158345,4.545356464,16.29488374
DS7757,3.728317346,3.73391287,3.73391287,0.047411658,0.036171421,0.0000641,20.78373776,95.1661104,4.578873709,21.22484392
DS7758,4.216526779,4.220723421,4.220723421,2.080712318,0.001211541,0,12.75910353,49.77375819,3.901038821,11.10101321
DS7759,3.840127898,3.840527578,3.840527578,4.024228573,0.0000125,0.00000038,13.40874057,75.31738075,5.617036167,16.79799294
DS7760,3.834532374,3.838329337,3.9058753,3.559766293,0.000620863,9.99E-08,15.52042542,92.05666266,5.931323412,20.53134555
DS7761,3.885080444,3.885380234,3.904666733,4.090415955,0.0000939,0.000000919,12.67523362,106.0748061,8.368666743,23.65780416
DS7762,3.996902478,4.007993605,4.007993605,2.151661396,0.130345941,0.014276098,18.83920509,136.6748117,7.254807781,30.48250615
