lon;lat;species;year;n
4,54751;51,46344;Vanessa atalanta;2009;1,000000
4,60375;51,01304;Celastrina argiolus;2004;2,333333
4,60375;51,01304;Celastrina argiolus;2006;1,357143
4,60375;51,01304;Celastrina argiolus;2007;1,666667
4,60375;51,01304;Celastrina argiolus;2008;1,000000
4,60375;51,01304;Gonepteryx rhamni;2004;1,400000
4,60375;51,01304;Gonepteryx rhamni;2006;1,157895
4,60375;51,01304;Gonepteryx rhamni;2007;1,000000
4,60375;51,01304;Gonepteryx rhamni;2008;1,000000
4,60375;51,01304;Ochlodes sylvanus;2004;3,160000
4,60375;51,01304;Ochlodes sylvanus;2006;1,428571
4,60375;51,01304;Ochlodes sylvanus;2007;1,750000
4,60375;51,01304;Vanessa atalanta;2004;1,461538
4,60375;51,01304;Vanessa atalanta;2006;2,764706
4,60375;51,01304;Vanessa atalanta;2007;2,111111
4,60530;51,05799;Ochlodes sylvanus;2004;1,000000
4,61155;51,23776;Gonepteryx rhamni;2007;2,000000
4,61470;51,32765;Gonepteryx rhamni;2008;1,000000
4,61470;51,32765;Ochlodes sylvanus;2007;1,000000
4,61628;51,37259;Celastrina argiolus;2005;2,333333
4,61628;51,37259;Celastrina argiolus;2006;5,000000
4,61628;51,37259;Celastrina argiolus;2007;1,500000
4,61628;51,37259;Celastrina argiolus;2008;3,000000
4,61628;51,37259;Gonepteryx rhamni;2005;1,000000
4,61628;51,37259;Gonepteryx rhamni;2008;1,000000
4,61628;51,37259;Ochlodes sylvanus;2005;20,000000
4,61628;51,37259;Ochlodes sylvanus;2006;30,000000
4,61628;51,37259;Ochlodes sylvanus;2007;1,333333
4,61628;51,37259;Ochlodes sylvanus;2008;9,500000
4,61628;51,37259;Vanessa atalanta;2006;5,750000
4,61628;51,37259;Vanessa atalanta;2007;1,272727
4,61628;51,37259;Vanessa atalanta;2008;2,000000
4,68314;51,23676;Celastrina argiolus;2007;1,000000
4,68314;51,23676;Ochlodes sylvanus;2007;1,000000
4,68314;51,23676;Vanessa atalanta;2007;3,000000
4,68974;51,41652;Celastrina argiolus;2006;5,500000
4,68974;51,41652;Ochlodes sylvanus;2003;10,000000
4,68974;51,41652;Ochlodes sylvanus;2005;1,000000
4,68974;51,41652;Ochlodes sylvanus;2006;1,000000
4,68974;51,41652;Vanessa atalanta;2003;6,500000
4,68974;51,41652;Vanessa atalanta;2005;1,500000
4,68974;51,41652;Vanessa atalanta;2006;2,500000
4,69140;51,46146;Celastrina argiolus;2005;2,000000
4,69140;51,46146;Ochlodes sylvanus;2005;15,000000
4,69140;51,46146;Ochlodes sylvanus;2006;2,000000
4,69140;51,46146;Vanessa atalanta;2005;1,000000
4,69140;51,46146;Vanessa atalanta;2006;2,000000
4,74792;51,05594;Celastrina argiolus;2007;1,000000
4,74792;51,05594;Gonepteryx rhamni;2007;1,000000
4,74792;51,05594;Ochlodes sylvanus;2007;10,000000
4,74792;51,05594;Vanessa atalanta;2007;3,000000
4,74962;51,10088;Ochlodes sylvanus;2007;7,000000
4,74962;51,10088;Vanessa atalanta;2007;2,500000
4,75132;51,14582;Celastrina argiolus;2008;1,333333
4,75132;51,14582;Gonepteryx rhamni;2008;1,333333
4,75132;51,14582;Vanessa atalanta;2008;3,000000
4,75302;51,19076;Celastrina argiolus;2007;2,000000
4,75302;51,19076;Gonepteryx rhamni;2004;1,000000
4,75302;51,19076;Vanessa atalanta;2006;2,000000
4,75302;51,19076;Vanessa atalanta;2007;1,000000
4,75644;51,28064;Celastrina argiolus;2008;1,000000
4,75644;51,28064;Gonepteryx rhamni;2008;1,666667
4,75644;51,28064;Ochlodes sylvanus;2008;3,000000
4,75816;51,32558;Celastrina argiolus;2006;1,000000
4,75816;51,32558;Celastrina argiolus;2007;3,000000
4,75816;51,32558;Gonepteryx rhamni;2007;1,000000
4,75816;51,32558;Gonepteryx rhamni;2008;2,000000
4,75816;51,32558;Vanessa atalanta;2006;1,000000
4,75988;51,37052;Gonepteryx rhamni;2007;1,000000
4,75988;51,37052;Ochlodes sylvanus;2006;1,000000
4,75988;51,37052;Vanessa atalanta;2006;1,000000
4,75988;51,37052;Vanessa atalanta;2007;1,000000
4,76161;51,41546;Celastrina argiolus;2003;2,666667
4,76161;51,41546;Celastrina argiolus;2006;2,000000
4,76161;51,41546;Gonepteryx rhamni;2003;1,000000
4,76161;51,41546;Gonepteryx rhamni;2006;1,000000
4,76161;51,41546;Ochlodes sylvanus;2003;2,000000
4,76161;51,41546;Ochlodes sylvanus;2006;5,000000
4,76161;51,41546;Vanessa atalanta;2003;2,000000
4,76161;51,41546;Vanessa atalanta;2005;1,000000
4,76161;51,41546;Vanessa atalanta;2006;1,200000
4,76334;51,46040;Celastrina argiolus;2006;1,000000
4,76334;51,46040;Gonepteryx rhamni;2005;1,000000
4,76334;51,46040;Gonepteryx rhamni;2006;1,333333
4,76334;51,46040;Ochlodes sylvanus;2003;3,000000
4,76334;51,46040;Ochlodes sylvanus;2006;1,000000
4,76334;51,46040;Vanessa atalanta;2003;1,625000
4,76334;51,46040;Vanessa atalanta;2005;1,000000
4,76334;51,46040;Vanessa atalanta;2006;1,428571
4,76507;51,50533;Celastrina argiolus;2006;1,000000
4,76507;51,50533;Ochlodes sylvanus;2006;1,000000
4,76507;51,50533;Vanessa atalanta;2003;1,666667
4,76507;51,50533;Vanessa atalanta;2005;1,500000
4,76507;51,50533;Vanessa atalanta;2006;1,000000
4,82099;51,09979;Celastrina argiolus;2006;1,000000
4,82099;51,09979;Gonepteryx rhamni;2006;3,000000
4,82099;51,09979;Ochlodes sylvanus;2006;3,500000
4,82099;51,09979;Vanessa atalanta;2006;1,200000
4,82276;51,14473;Vanessa atalanta;2004;1,000000
4,82454;51,18967;Celastrina argiolus;2004;1,000000
4,82454;51,18967;Celastrina argiolus;2006;2,000000
4,82454;51,18967;Gonepteryx rhamni;2004;1,000000
4,82454;51,18967;Ochlodes sylvanus;2003;1,000000
4,82454;51,18967;Ochlodes sylvanus;2004;1,000000
4,82454;51,18967;Ochlodes sylvanus;2006;2,666667
4,82454;51,18967;Vanessa atalanta;2003;1,000000
4,82454;51,18967;Vanessa atalanta;2004;1,000000
4,82454;51,18967;Vanessa atalanta;2006;1,000000
4,82454;51,18967;Vanessa atalanta;2007;1,000000
4,82631;51,23461;Celastrina argiolus;2004;1,000000
4,82631;51,23461;Gonepteryx rhamni;2004;1,000000
4,82631;51,23461;Vanessa atalanta;2004;1,000000
4,82631;51,23461;Vanessa atalanta;2006;1,000000
4,82810;51,27955;Celastrina argiolus;2004;1,000000
4,82810;51,27955;Gonepteryx rhamni;2003;1,000000
4,82810;51,27955;Gonepteryx rhamni;2004;1,000000
4,82810;51,27955;Ochlodes sylvanus;2003;2,000000
4,82810;51,27955;Ochlodes sylvanus;2004;1,000000
4,82988;51,32448;Celastrina argiolus;2006;1,166667
4,82988;51,32448;Gonepteryx rhamni;2003;2,000000
4,82988;51,32448;Gonepteryx rhamni;2006;1,500000
4,82988;51,32448;Ochlodes sylvanus;2003;3,500000
4,82988;51,32448;Ochlodes sylvanus;2006;1,500000
4,82988;51,32448;Vanessa atalanta;2003;1,000000
4,82988;51,32448;Vanessa atalanta;2006;12,461538
4,83167;51,36942;Vanessa atalanta;2003;5,000000
4,83347;51,41436;Celastrina argiolus;2003;1,000000
4,83347;51,41436;Celastrina argiolus;2006;1,500000
4,83347;51,41436;Celastrina argiolus;2007;1,000000
4,83347;51,41436;Gonepteryx rhamni;2003;1,736842
4,83347;51,41436;Gonepteryx rhamni;2005;1,666667
4,83347;51,41436;Gonepteryx rhamni;2006;1,000000
4,83347;51,41436;Ochlodes sylvanus;2003;5,714286
4,83347;51,41436;Ochlodes sylvanus;2006;3,636364
4,83347;51,41436;Vanessa atalanta;2003;1,923077
4,83347;51,41436;Vanessa atalanta;2005;1,000000
4,83347;51,41436;Vanessa atalanta;2006;1,000000
4,83347;51,41436;Vanessa atalanta;2007;1,000000
4,83527;51,45929;Celastrina argiolus;2003;1,000000
4,83527;51,45929;Vanessa atalanta;2000;3,000000
4,83527;51,45929;Vanessa atalanta;2006;1,000000
4,88871;51,00878;Celastrina argiolus;2002;1,000000
4,88871;51,00878;Gonepteryx rhamni;2002;1,000000
4,88871;51,00878;Gonepteryx rhamni;2006;1,000000
4,88871;51,00878;Ochlodes sylvanus;2006;1,000000
4,89053;51,05372;Celastrina argiolus;2007;1,000000
4,89053;51,05372;Vanessa atalanta;2007;1,000000
4,89053;51,05372;Vanessa atalanta;2008;1,000000
4,89237;51,09866;Celastrina argiolus;2007;1,500000
4,89237;51,09866;Ochlodes sylvanus;2007;2,200000
4,89237;51,09866;Vanessa atalanta;2007;1,333333
4,89237;51,09866;Vanessa atalanta;2009;1,000000
4,89420;51,14360;Celastrina argiolus;2007;1,000000
4,89420;51,14360;Gonepteryx rhamni;2004;1,000000
4,89420;51,14360;Gonepteryx rhamni;2007;1,000000
4,89420;51,14360;Vanessa atalanta;2007;1,000000
4,89605;51,18853;Celastrina argiolus;2004;1,000000
4,89605;51,18853;Celastrina argiolus;2006;1,444444
4,89605;51,18853;Ochlodes sylvanus;2003;1,000000
4,89605;51,18853;Ochlodes sylvanus;2006;2,785714
4,89605;51,18853;Vanessa atalanta;2003;1,000000
4,89605;51,18853;Vanessa atalanta;2006;1,000000
4,89789;51,23347;Gonepteryx rhamni;2004;13,400000
4,89789;51,23347;Gonepteryx rhamni;2007;2,000000
4,89789;51,23347;Ochlodes sylvanus;2003;1,000000
4,89789;51,23347;Ochlodes sylvanus;2007;4,000000
4,89789;51,23347;Vanessa atalanta;2004;1,000000
4,89789;51,23347;Vanessa atalanta;2007;3,000000
4,89974;51,27841;Celastrina argiolus;2003;10,000000
4,89974;51,27841;Celastrina argiolus;2005;1,000000
4,89974;51,27841;Celastrina argiolus;2006;1,000000
4,89974;51,27841;Celastrina argiolus;2007;4,333333
4,89974;51,27841;Gonepteryx rhamni;2006;1,000000
4,89974;51,27841;Gonepteryx rhamni;2007;1,000000
4,89974;51,27841;Ochlodes sylvanus;2003;9,000000
4,89974;51,27841;Ochlodes sylvanus;2005;1,000000
4,89974;51,27841;Ochlodes sylvanus;2006;1,000000
4,89974;51,27841;Ochlodes sylvanus;2007;8,250000
4,89974;51,27841;Vanessa atalanta;2005;1,000000
4,89974;51,27841;Vanessa atalanta;2006;1,000000
4,89974;51,27841;Vanessa atalanta;2007;3,500000
4,90160;51,32334;Celastrina argiolus;2007;1,200000
4,90160;51,32334;Gonepteryx rhamni;2007;1,000000
4,90160;51,32334;Vanessa atalanta;2007;1,000000
4,90346;51,36828;Celastrina argiolus;2000;1,000000
4,90346;51,36828;Gonepteryx rhamni;2007;1,000000
4,90346;51,36828;Ochlodes sylvanus;2000;9,250000
4,90346;51,36828;Vanessa atalanta;2000;1,000000
4,90346;51,36828;Vanessa atalanta;2008;1,000000
4,96183;51,05255;Celastrina argiolus;2007;1,000000
4,96183;51,05255;Celastrina argiolus;2008;1,000000
4,96183;51,05255;Ochlodes sylvanus;2008;2,600000
4,96183;51,05255;Ochlodes sylvanus;2009;1,000000
4,96183;51,05255;Vanessa atalanta;2007;1,000000
4,96183;51,05255;Vanessa atalanta;2008;1,000000
4,96373;51,09748;Celastrina argiolus;2007;1,000000
4,96373;51,09748;Ochlodes sylvanus;2007;4,666667
4,96373;51,09748;Vanessa atalanta;2007;1,000000
4,96755;51,18735;Vanessa atalanta;2006;1,000000
4,96755;51,18735;Vanessa atalanta;2007;1,000000
4,96947;51,23229;Gonepteryx rhamni;2008;2,000000
4,96947;51,23229;Vanessa atalanta;2006;1,000000
4,97331;51,32215;Celastrina argiolus;2007;1,500000
4,97331;51,32215;Gonepteryx rhamni;2007;1,000000
4,97331;51,32215;Vanessa atalanta;2006;11,750000
4,97331;51,32215;Vanessa atalanta;2007;1,200000
4,97525;51,36709;Celastrina argiolus;2006;1,000000
4,97525;51,36709;Ochlodes sylvanus;2003;5,000000
4,97525;51,36709;Vanessa atalanta;2003;1,000000
4,97525;51,36709;Vanessa atalanta;2006;1,000000
5,03707;51,14119;Gonepteryx rhamni;2006;1,000000
5,03905;51,18613;Celastrina argiolus;2006;1,000000
5,03905;51,18613;Celastrina argiolus;2007;1,833333
5,03905;51,18613;Celastrina argiolus;2008;1,000000
5,03905;51,18613;Gonepteryx rhamni;2006;1,000000
5,03905;51,18613;Gonepteryx rhamni;2007;1,000000
5,03905;51,18613;Gonepteryx rhamni;2008;1,000000
5,03905;51,18613;Ochlodes sylvanus;2006;1,000000
5,03905;51,18613;Ochlodes sylvanus;2007;2,000000
5,03905;51,18613;Ochlodes sylvanus;2008;1,000000
5,03905;51,18613;Vanessa atalanta;2006;1,000000
5,03905;51,18613;Vanessa atalanta;2007;1,250000
5,03905;51,18613;Vanessa atalanta;2008;10,500000
5,04104;51,23106;Celastrina argiolus;2007;1,000000
5,04104;51,23106;Celastrina argiolus;2008;1,000000
5,04104;51,23106;Gonepteryx rhamni;2007;1,000000
5,04104;51,23106;Gonepteryx rhamni;2008;1,000000
5,04104;51,23106;Ochlodes sylvanus;2006;1,000000
5,04104;51,23106;Ochlodes sylvanus;2008;1,600000
5,04104;51,23106;Vanessa atalanta;2006;1,000000
5,04104;51,23106;Vanessa atalanta;2008;1,250000
5,04303;51,27599;Celastrina argiolus;2007;1,333333
5,04303;51,27599;Gonepteryx rhamni;2007;1,454545
5,04303;51,27599;Ochlodes sylvanus;2007;1,666667
5,04303;51,27599;Vanessa atalanta;2007;3,062500
5,04502;51,32092;Gonepteryx rhamni;2007;1,000000
5,04502;51,32092;Ochlodes sylvanus;2000;7,250000
5,04502;51,32092;Vanessa atalanta;2000;1,000000
5,04502;51,32092;Vanessa atalanta;2003;1,000000
5,04702;51,36585;Celastrina argiolus;2007;1,000000
5,04702;51,36585;Vanessa atalanta;2007;6,000000
5,04903;51,41079;Gonepteryx rhamni;2004;3,000000
5,04903;51,41079;Gonepteryx rhamni;2005;1,000000
5,04903;51,41079;Ochlodes sylvanus;2004;1,000000
5,04903;51,41079;Ochlodes sylvanus;2005;3,000000
5,04903;51,41079;Vanessa atalanta;2004;3,000000
5,04903;51,41079;Vanessa atalanta;2005;1,000000
5,05104;51,45572;Vanessa atalanta;2006;1,000000
5,10441;51,05007;Ochlodes sylvanus;2008;2,000000
5,10441;51,05007;Vanessa atalanta;2006;1,666667
5,10441;51,05007;Vanessa atalanta;2008;1,000000
5,10645;51,09500;Ochlodes sylvanus;2007;1,000000
5,11054;51,18486;Celastrina argiolus;2006;1,000000
5,11054;51,18486;Celastrina argiolus;2007;1,000000
5,11054;51,18486;Celastrina argiolus;2008;1,000000
5,11054;51,18486;Gonepteryx rhamni;2006;1,000000
5,11054;51,18486;Gonepteryx rhamni;2007;1,000000
5,11054;51,18486;Gonepteryx rhamni;2008;1,000000
5,11054;51,18486;Ochlodes sylvanus;2007;1,666667
5,11054;51,18486;Ochlodes sylvanus;2008;1,000000
5,11054;51,18486;Vanessa atalanta;2006;1,000000
5,11054;51,18486;Vanessa atalanta;2007;1,000000
5,11054;51,18486;Vanessa atalanta;2008;1,000000
5,11260;51,22979;Celastrina argiolus;2007;1,000000
5,11260;51,22979;Celastrina argiolus;2008;1,000000
5,11260;51,22979;Gonepteryx rhamni;2006;1,000000
5,11260;51,22979;Gonepteryx rhamni;2007;2,000000
5,11260;51,22979;Vanessa atalanta;2006;1,000000
5,11260;51,22979;Vanessa atalanta;2007;3,000000
5,11466;51,27472;Celastrina argiolus;2003;1,000000
5,11466;51,27472;Ochlodes sylvanus;2005;1,000000
5,11466;51,27472;Vanessa atalanta;2006;1,000000
5,11673;51,31965;Celastrina argiolus;2005;1,000000
5,11673;51,31965;Gonepteryx rhamni;2005;1,000000
5,11673;51,31965;Gonepteryx rhamni;2007;2,000000
5,11673;51,31965;Ochlodes sylvanus;2005;18,666667
5,11673;51,31965;Ochlodes sylvanus;2006;1,000000
5,11673;51,31965;Vanessa atalanta;2006;1,000000
5,11673;51,31965;Vanessa atalanta;2007;2,000000
5,11880;51,36458;Vanessa atalanta;2006;1,000000
5,17991;51,13862;Gonepteryx rhamni;2008;1,000000
5,17991;51,13862;Ochlodes sylvanus;2008;2,000000
5,18203;51,18355;Gonepteryx rhamni;2008;1,000000
5,18203;51,18355;Ochlodes sylvanus;2006;1,000000
5,18203;51,18355;Vanessa atalanta;2003;1,000000
5,18416;51,22848;Gonepteryx rhamni;2003;2,000000
5,18416;51,22848;Gonepteryx rhamni;2007;1,000000
5,18416;51,22848;Gonepteryx rhamni;2008;1,000000
5,18416;51,22848;Ochlodes sylvanus;2008;1,500000
5,18416;51,22848;Vanessa atalanta;2006;1,000000
5,18416;51,22848;Vanessa atalanta;2007;2,000000
5,18629;51,27340;Celastrina argiolus;2005;1,500000
5,18629;51,27340;Gonepteryx rhamni;2005;1,000000
5,18629;51,27340;Ochlodes sylvanus;2005;2,000000
5,18629;51,27340;Vanessa atalanta;2005;1,000000
5,18843;51,31833;Celastrina argiolus;2005;1,000000
5,18843;51,31833;Ochlodes sylvanus;2005;1,500000
5,18843;51,31833;Vanessa atalanta;2005;1,000000
5,25352;51,18219;Ochlodes sylvanus;2003;1,000000
4,24147;50,79263;Vanessa atalanta;2006;2,000000
4,24266;50,83758;Celastrina argiolus;2006;1,000000
4,24266;50,83758;Celastrina argiolus;2007;1,000000
4,24266;50,83758;Celastrina argiolus;2008;1,000000
4,24266;50,83758;Ochlodes sylvanus;2005;3,166667
4,24266;50,83758;Ochlodes sylvanus;2006;1,600000
4,24266;50,83758;Ochlodes sylvanus;2007;4,333333
