gbifID	species	speciesKey	genus	genusKey	eventDate	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters
4863702647	Pararge aegeria	8049830	Pararge	1894469	2024-05-12T13:16:00Z	50.490442	6.13345	128
4863697384	Araschnia levana	1902533	Araschnia	1902519	2024-05-14T11:41:28Z	50.436636	3.967639	14
4863696530	Pseudopanthera macularia	1954563	Pseudopanthera	1954555	2024-05-08T15:22:15Z	50.498272	3.728765	5
4863696529	Xanthorhoe ferrugata	1986171	Xanthorhoe	1986081	2024-05-08T11:54:00Z	51.176969	4.640747	15
4863696275	Ematurga atomaria	1956440	Ematurga	1956434	2024-05-12T16:39:51Z	50.500953	6.161795	5
4863696149	Diaphora mendica	6097214	Diaphora	3261008	2024-05-12T10:55:17Z	50.514506	4.902571	124
4863695891	Pararge aegeria	8049830	Pararge	1894469	2024-05-11T12:14:00Z	51.289118	3.13839	90
4863695890	Pararge aegeria	8049830	Pararge	1894469	2024-05-10T12:36:00Z	51.359807000000004	3.350573	122
4863694883	Papilio machaon	8225376	Papilio	10175914	2024-05-12T15:53:00Z	49.664303	5.772015	128
4863694296	Eupithecia nanata	8015895	Eupithecia	1982367	2024-05-11T07:36:00Z	50.551557	5.098316	1
4863694292	Opisthograptis luteolata	1960617	Opisthograptis	1960592	2024-05-11T06:49:00Z	50.438733	6.108852	2
4863689235	Aglais io	4535827	Aglais	1894779	2024-05-09T15:19:00Z	50.809524	4.321065	4
4863688677	Erannis defoliaria	1956599	Erannis	1956545	2024-05-06T14:44:00Z	50.827922	2.966926	31
4863683080	Eupithecia assimilata	1982746	Eupithecia	1982367	2024-05-14T07:07:00Z	50.551545	5.098328	1
4863682668	Pieris rapae	1920496	Pieris	1920481	2024-05-13T14:35:57Z	50.522267	3.601755	3
4863678451	Pararge aegeria	8049830	Pararge	1894469	2024-05-09T18:06:33Z	50.812923	4.398247	7
4863671807	Cossus cossus	5101394	Cossus	1730815	2024-05-09T18:09:00Z	50.459313	3.683383	15
4863671737	Helleia helle	1925962	Helleia	1925960	2024-05-12T12:53:00Z	50.490442	6.13345	210
4863670048	Gonepteryx rhamni	1920712	Gonepteryx	1920704	2024-05-14T16:58:00Z	50.459623	5.071469	26357
4863665816	Mirificarma interrupta	1852159	Mirificarma	1852133	2024-05-13T06:44:00Z	50.438736	6.108842	2
4863651973	Hypomecis punctinalis	4524638	Hypomecis	1978506	2024-05-09T22:23:00Z	49.66418	5.772297	2
4863644111	Orthosia miniosa	1799132	Orthosia	1798902	2024-05-13T13:54:51Z	50.090214	4.569317	4
4863644005	Eupithecia vulgata	1982542	Eupithecia	1982367	2024-05-13T14:59:07Z	50.793701	4.358996	10
4863643939	Cerastis rubricosa	5110885	Cerastis	1777868	2024-05-13T06:18:00Z	50.43874	6.108857	2
4863634475	Gymnoscelis rufifasciata	1992066	Gymnoscelis	1991946	2024-05-10T06:52:00Z	50.551552	5.098318	1
4863631793	Aglais io	4535827	Aglais	1894779	2024-05-01T15:10:00Z	51.119675	2.65932	15
4863620390	Petrophora chlorosata	1973467	Pterophorus	8331787	2024-05-09T15:58:22Z	50.396992	5.88717	4
4863617148	Orthosia incerta	1799135	Orthosia	1798902	2024-05-08T07:00:00Z	50.438736	6.108844	2
4863611915	Araschnia levana	1902533	Araschnia	1902519	2024-05-12T12:42:00Z	49.640618	5.348928	2
4863608173	Cydalima perspectalis	4532122	Cydalima	1884886	2024-05-01T17:55:24Z	50.335008	4.703689	3
4863599863	Cabera exanthemata	5143675	Cabera	1955900	2024-05-14T07:10:00Z	50.43874	6.108857	2
4863595013	Agonopterix arenella	1840581	Agonopterix	1840273	2024-05-14T08:38:20Z	51.230212	2.941787	3
4863593847	Pseudopanthera macularia	1954563	Pseudopanthera	1954555	2024-05-08T14:56:28Z	50.195441	4.964925	233
4863591439	Autographa gamma	1792418	Autographa	1792405	2024-05-11T06:54:00Z	50.438735	6.108846	2
4863585707	Pseudopanthera macularia	1954563	Pseudopanthera	1954555	2024-05-09T11:35:00Z	50.46266	3.691891	31
4863577593	Pararge aegeria	8049830	Pararge	1894469	2024-05-12T11:36:59Z	51.175591	3.943574	3273
4863568496	Gymnoscelis rufifasciata	1992066	Gymnoscelis	1991946	2024-05-08T07:40:00Z	50.551564	5.098306	1
4863567456	Tyria jacobaeae	5115777	Tyria	1809069	2024-05-13T14:17:17Z	50.521157	3.60173	6
4863559158	Pyralis farinalis	1872901	Pyralis	1872845	2024-05-10T13:54:06Z	50.464223	4.882028	71
4863558966	Ematurga atomaria	1956440	Ematurga	1956434	2024-05-10T14:19:26Z	49.636721	5.686839	182
4863551422	Ematurga atomaria	1956440	Ematurga	1956434	2024-05-10T09:37:00Z	49.664125	5.771525	222
4863550584	Epirrhoe alternata	8361848	Epirrhoe	1964577	2024-05-09T17:17:42Z	49.684223	5.560122	109
4863550237	Chiasmia clathrata	4525078	Chiasmia	4525072	2024-05-13T11:36:05Z	50.520585	3.603935	6
4863542526	Ochropleura plecta	1770477	Ochropleura	1770396	2024-05-13T06:22:00Z	50.438736	6.108851	2
4863541200	Ematurga atomaria	1956440	Ematurga	1956434	2024-05-13T13:44:43Z	50.092389	4.572987	4
4863539634	Egira conspicillaris	1792061	Egira	1792055	2024-05-10T08:15:30Z	49.689881	5.525821	136
4863534656	Carterocephalus palaemon	1947335	Carterocephalus	1947272	2024-05-11T17:19:31Z	51.286803	5.154322	46
4863530116	Cauchas rufimitrella	4522886	Cauchas	4404934	2024-05-11T14:52:59Z	49.511544	5.48036	178
4863524468	Peribatodes rhomboidaria	1957572	Peribatodes	1957545	2024-05-14T08:41:45Z	51.229824	2.94187	52
4863524182	Araschnia levana	1902533	Araschnia	1902519	2024-05-09T15:34:32Z	50.820893	4.631573	13
4863517423	Pararge aegeria	8049830	Pararge	1894469	2024-05-12T11:24:11Z	50.391412	5.919388	3
4863514587	Pyrgus malvae	8109173	Pyrgus	1949704	2024-05-12T11:55:00Z	49.664042	5.771378	158
4863500741	Helleia helle	1925962	Helleia	1925960	2024-05-12T12:53:23Z	50.490442	6.13345	4
4863497817	Araschnia levana	1902533	Araschnia	1902519	2024-05-12T11:07:25Z	51.233964	5.186044	103
4863497144	Charanyca trigrammica	1778074	Charanyca	1778073	2024-05-11T07:38:00Z	50.55156	5.098314	1
4863494803	Phragmatobia fuliginosa	1804071	Phragmatobia	1803951	2024-05-09T13:33:19Z	51.215359	4.698458	100
4863491540	Pararge aegeria	8049830	Pararge	1894469	2024-05-11T13:27:40Z	51.070114	3.057878	3
4863490373	Pararge aegeria	8049830	Pararge	1894469	2024-05-10T13:55:59Z	50.813123	4.398015	48
4863489841	Ematurga atomaria	1956440	Ematurga	1956434	2024-05-11T11:21:00Z	49.664112	5.771598	164
4863487662	Lycaena phlaeas	1929697	Lycaena	1929153	2024-05-09T12:00:42Z	50.981459	4.537752	164
4863486627	Autographa gamma	1792418	Autographa	1792405	2024-05-13T11:38:54Z	50.520729	3.603896	4
4863486143	Laothoe populi	5124007	Laothoe	1863647	2024-05-14T07:07:00Z	50.551552	5.098339	4
4863480327	Cyaniris semiargus	5139156	Cyaniris	1928447	2024-05-13T13:44:06Z	50.0924	4.57295	11
4863477361	Pterostoma palpina	1825064	Pterostoma	1825057	2024-05-11T07:02:00Z	50.438726	6.108853	2
4863474299	Anthophila fabriciana	5123461	Anthophila	5123443	2024-05-13T11:20:46Z	50.812884	4.398131	5
4863470903	Pyrgus malvae	8109173	Pyrgus	1949704	2024-05-10T16:42:10Z	49.573373	5.821672	13
4863469195	Cilix glaucata	1951557	Cilix	1951549	2024-05-13T06:30:00Z	50.43873	6.10884	2
4863466764	Calliteara pudibunda	1819145	Calliteara	1819125	2024-05-04T22:46:54Z	50.619099	4.448935	100
4863465621	Autographa gamma	1792418	Autographa	1792405	2024-05-13T13:45:14Z	50.5206	3.60218	3
