taxonKey,locality,threatStatus,source,locationId,country,remarks
164615008,Montenegro,,Franeta (2018) | Švara et al. (2015),ISO_3166:ME,ME,
164615008,North Macedonia,NEAR_THREATENED,Krpač and Darcemont (2011) | Micevski and Micevski (2017),ISO_3166:MK,MK,
164615008,Netherlands,NOT_EVALUATED,Bos et al. (2006) | Kuchlein and de Vos (1999) | van Swaay (2018),ISO_3166:NL,NL,
164615008,Norway,NEAR_THREATENED,Henriksen and Hilmo (2015) | Aarvik et al. (2017),ISO_3166:NO,NO,
164615008,Poland,CRITICALLY_ENDANGERED,Buszko and Nowacki (2002) | Buszko and Sielezniew (pers. comm.) | Buszko and Masłowski (2015),ISO_3166:PL,PL,
164615008,Romania,REGIONALLY_EXTINCT,Rákosy (2013) | Vlad Dincă (pers. comm.) | Korb and Bolshakov (2016) | Székely (2008) | Wiemers et al. (2018),ISO_3166:RO,RO,
164615008,Serbia,VULNERABLE,Jakšić (2003) | Popović et al. (2017) | Popović and Verovnik (2018),ISO_3166:RS,RS,
164615008,Russia,,Danilov-Danilian (2001) | Iliashenko and Iliashenko (2000) | Rudi Verovnik (pers. comm.) | Tatarinov and Gorbunov (2014) | Tshikolovets (2011) | Tuzov (1997) | Tuzov (2000),ISO_3166:RU,RU,
164615008,Sweden,NEAR_THREATENED,Ahrné et al. (2015),ISO_3166:SE,SE,
164615008,Slovenia,VULNERABLE,Anonymous (2002) | Verovnik et al. (2012),ISO_3166:SI,SI,
164615008,Slovakia,ENDANGERED,Hernik Kalivoda (pers. comm.) | Pastorális et al. (2013),ISO_3166:SK,SK,
164615008,Ukraine,REGIONALLY_EXTINCT,Serhiy Popov and Yurii Geryak (pers. comm.) | Korb and Bolshakov (2016) | Nekrutenko and Tshikolovets (2005),ISO_3166:UA,UA,
164615009,Europe,NEAR_THREATENED,van Swaay et al. (2010) | Wiemers et al. (2018),,,
164615009,European Union,LEAST_CONCERN,van Swaay et al. (2010),,,
164615009,Andorra,ENDANGERED,Dantart and Jubany (2012),ISO_3166:AD,AD,
164615009,Albania,VULNERABLE,Anonymous (2013) | Cuvelier et al. (2018) | Micevski et al. (2015) | Šašić et al. (2015) | Verovnik and Popović (2013),ISO_3166:AL,AL,
164615009,Austria,NEAR_THREATENED,Höttinger and Pennerstorfer (2005) | Zulka et al. (2003) | Huemer (2013) | Huemer and Wiesmair (2017),ISO_3166:AT,AT,
164615009,Bosnia and Herzegovina,NEAR_THREATENED,Đug (2013) | Koren and Kulijer (2016) | Lelo (2016),ISO_3166:BA,BA,
164615009,Bulgaria,LEAST_CONCERN,Hristova and Beshkov (2017) | Kolev (2017) | Kolev and Shtinkov (2016) | Kolev and Tsvetanov (2018) | Langourov and Simov (2014),ISO_3166:BG,BG,
164615009,Belarus,NEAR_THREATENED,Kulak and Yakovlev (2018) | Korb and Bolshakov (2016),ISO_3166:BY,BY,In source as 'Driopa mnemosyne'
164615009,Switzerland,VULNERABLE,Wermeille et al. (2014) | Sonderegger (2005) | SwissLepTeam (2010),ISO_3166:CH,CH,
164615009,Czech Republic,ENDANGERED,Beneš and Konvička (2017) | Alois Pavlíčko and Zdeněk Faltýnek Fric (pers. comm.),ISO_3166:CZ,CZ,
164615009,Germany,ENDANGERED,Reinhardt and Bolz (2011),ISO_3166:DE,DE,
164615009,Denmark,REGIONALLY_EXTINCT,Wind and Pihl (2004) | Aarvik et al. (2017),ISO_3166:DK,DK,
164615009,Estonia,LEAST_CONCERN,Anu Tiitsaar (pers.comm.) | Aarvik et al. (2017) | Õunap and Tartes (2014),ISO_3166:EE,EE,
164615009,Spain,LEAST_CONCERN,Verdú and Galante (2009) | Verdú et al. (2011) | García-Barros et al. (2013) | Monasterio León et al. (2017),ISO_3166:ES,ES,
164615009,Finland,VULNERABLE,Kaitila et al. (2010) | Aarvik et al. (2017) | Saarinen and Jantunen (2013),ISO_3166:FI,FI,
164615009,France,NEAR_THREATENED,UICN France et al. (2012) | Lafranchis et al. (2015),ISO_3166:FR,FR,
164615009,Greece,LEAST_CONCERN,Legakis and Maragou (2009) | Pamperis (2009) | Coutsis and Bozano (2017),ISO_3166:GR,GR,
164615009,Croatia,NEAR_THREATENED,Šašić et al. (2015) | Šašić and Mihoci (2011),ISO_3166:HR,HR,
164615009,Hungary,NEAR_THREATENED,Ádám Kőrösi & Ádám Gór (pers. comm.) | Gergely et al. (2017) | Sáfián et al. (2012) | Varga (2012),ISO_3166:HU,HU,
164615009,Italy,LEAST_CONCERN,Bonelli et al. (2018) | Balletto et al. (2014),ISO_3166:IT,IT,
164615009,Liechtenstein,,Aistleitner and Aistleitner (1996) | Ulrich Hiermann (pers. comm.),ISO_3166:LI,LI,
164615009,Lithuania,LEAST_CONCERN,Rašomavičius (2007) | Aarvik et al. (2017),ISO_3166:LT,LT,
164615009,Latvia,,Aarvik et al. (2017),ISO_3166:LV,LV,
164615009,Moldova,,Korb and Bolshakov (2016) | Mølgaard (2017),ISO_3166:MD,MD,In source as 'Driopa mnemosyne'
164615009,Montenegro,,Franeta (2018) | Švara et al. (2015),ISO_3166:ME,ME,
164615009,North Macedonia,NEAR_THREATENED,Krpač and Darcemont (2011) | Micevski and Micevski (2017),ISO_3166:MK,MK,
164615009,Norway,NEAR_THREATENED,Henriksen and Hilmo (2015) | Aarvik et al. (2017),ISO_3166:NO,NO,
164615009,Poland,VULNERABLE,Buszko and Nowacki (2002) | Buszko and Sielezniew (pers. comm.) | Buszko and Masłowski (2015),ISO_3166:PL,PL,
164615009,Romania,NEAR_THREATENED,Rákosy (2013) | Vlad Dincă (pers. comm.) | Korb and Bolshakov (2016) | Székely (2008) | Wiemers et al. (2018),ISO_3166:RO,RO,
164615009,Serbia,LEAST_CONCERN,Jakšić (2003) | Popović et al. (2017) | Popović and Verovnik (2018),ISO_3166:RS,RS,
164615009,Russia,,Danilov-Danilian (2001) | Iliashenko and Iliashenko (2000) | Rudi Verovnik (pers. comm.) | Tatarinov and Gorbunov (2014) | Tshikolovets (2011) | Tuzov (1997) | Tuzov (2000),ISO_3166:RU,RU,
164615009,Sweden,ENDANGERED,Ahrné et al. (2015),ISO_3166:SE,SE,
164615009,Slovenia,VULNERABLE,Anonymous (2002) | Verovnik et al. (2012),ISO_3166:SI,SI,
164615009,Slovakia,VULNERABLE,Hernik Kalivoda (pers. comm.) | Pastorális et al. (2013),ISO_3166:SK,SK,
164615009,Ukraine,NEAR_THREATENED,Serhiy Popov and Yurii Geryak (pers. comm.) | Korb and Bolshakov (2016) | Nekrutenko and Tshikolovets (2005),ISO_3166:UA,UA,In source as 'Driopa mnemosyne'
164615010,Europe,NEAR_THREATENED,van Swaay et al. (2010) | Wiemers et al. (2018),,,
164615010,European Union,NEAR_THREATENED,van Swaay et al. (2010),,,
164615010,Austria,NEAR_THREATENED,Höttinger and Pennerstorfer (2005) | Zulka et al. (2003) | Huemer (2013) | Huemer and Wiesmair (2017),ISO_3166:AT,AT,
164615010,Switzerland,LEAST_CONCERN,Wermeille et al. (2014) | Sonderegger (2005) | SwissLepTeam (2010),ISO_3166:CH,CH,
