year	count	kingdom	country
2008	1088017	Animalia	NL
2007	821739	Animalia	NL
2006	664857	Animalia	NL
2005	392389	Animalia	NL
2004	294852	Animalia	NL
2003	293148	Animalia	NL
2002	228713	Animalia	NL
2001	206729	Animalia	NL
2000	216072	Animalia	NL
2024	65934	Animalia	LU
2023	102054	Animalia	LU
2022	136117	Animalia	LU
2021	121886	Animalia	LU
2020	109732	Animalia	LU
2019	77514	Animalia	LU
2018	71438	Animalia	LU
2017	70678	Animalia	LU
2016	54747	Animalia	LU
2015	68759	Animalia	LU
2014	59285	Animalia	LU
2013	65698	Animalia	LU
2012	73210	Animalia	LU
2011	65086	Animalia	LU
2010	62717	Animalia	LU
2009	61466	Animalia	LU
2008	45987	Animalia	LU
2007	42586	Animalia	LU
2006	40374	Animalia	LU
2005	45612	Animalia	LU
2004	47532	Animalia	LU
2003	57116	Animalia	LU
2002	43561	Animalia	LU
2001	36839	Animalia	LU
2000	32694	Animalia	LU
2024	5053	Fungi	BE
2023	5337	Fungi	BE
2022	5866	Fungi	BE
2021	3066	Fungi	BE
2020	2772	Fungi	BE
2019	1637	Fungi	BE
2018	5222	Fungi	BE
2017	1364	Fungi	BE
2016	1085	Fungi	BE
2015	1825	Fungi	BE
2014	1318	Fungi	BE
2013	744	Fungi	BE
2012	1132	Fungi	BE
2011	1536	Fungi	BE
2010	2170	Fungi	BE
2009	1123	Fungi	BE
2008	1981	Fungi	BE
2007	998	Fungi	BE
2006	1840	Fungi	BE
2005	1214	Fungi	BE
2004	1245	Fungi	BE
2003	1151	Fungi	BE
2002	1089	Fungi	BE
2001	1424	Fungi	BE
2000	1648	Fungi	BE
2024	358146	Fungi	NL
2023	425614	Fungi	NL
2022	408526	Fungi	NL
2021	335356	Fungi	NL
2020	241474	Fungi	NL
2019	153557	Fungi	NL
2018	79596	Fungi	NL
2017	80692	Fungi	NL
2016	67057	Fungi	NL
2015	75636	Fungi	NL
2014	80686	Fungi	NL
2013	65650	Fungi	NL
2012	50694	Fungi	NL
2011	40616	Fungi	NL
2010	38166	Fungi	NL
2009	26843	Fungi	NL
2008	24600	Fungi	NL
2007	15747	Fungi	NL
2006	16065	Fungi	NL
2005	8932	Fungi	NL
2004	9232	Fungi	NL
2003	4947	Fungi	NL
2002	4277	Fungi	NL
2001	3661	Fungi	NL
2000	6820	Fungi	NL
2024	2365	Fungi	LU
2023	3025	Fungi	LU
2022	1511	Fungi	LU
2021	967	Fungi	LU
2020	571	Fungi	LU
2019	286	Fungi	LU
2018	2892	Fungi	LU
2017	309	Fungi	LU
2016	296	Fungi	LU
2015	796	Fungi	LU
2014	611	Fungi	LU
2013	281	Fungi	LU
2012	788	Fungi	LU
2011	476	Fungi	LU
2010	3888	Fungi	LU
2009	5491	Fungi	LU
2008	3642	Fungi	LU
2007	579	Fungi	LU
2006	575	Fungi	LU
2005	633	Fungi	LU
2004	991	Fungi	LU
2003	249	Fungi	LU
2002	574	Fungi	LU
2001	535	Fungi	LU
2000	1027	Fungi	LU
2024	21	Bacteria	BE
2023	69	Bacteria	BE
2022	39079	Bacteria	BE
2021	25968	Bacteria	BE
2020	109	Bacteria	BE
2019	293	Bacteria	BE
2018	93	Bacteria	BE
2017	158	Bacteria	BE
2016	32960	Bacteria	BE
2015	25942	Bacteria	BE
2014	3707	Bacteria	BE
2013	127	Bacteria	BE
2012	171	Bacteria	BE
2011	984	Bacteria	BE
2010	99	Bacteria	BE
2009	102	Bacteria	BE
2008	661	Bacteria	BE
2007	369	Bacteria	BE
2006	60	Bacteria	BE
2005	24	Bacteria	BE
2004	93	Bacteria	BE
2003	113	Bacteria	BE
2002	16	Bacteria	BE
2001	27	Bacteria	BE
2000	26	Bacteria	BE
2024	290	Bacteria	NL
2023	119	Bacteria	NL
2022	99	Bacteria	NL
2021	116	Bacteria	NL
2020	83	Bacteria	NL
2019	109	Bacteria	NL
2018	132	Bacteria	NL
2017	78	Bacteria	NL
2016	16316	Bacteria	NL
2015	16795	Bacteria	NL
2014	316	Bacteria	NL
2013	118	Bacteria	NL
2012	1078	Bacteria	NL
2011	5804	Bacteria	NL
2010	5081	Bacteria	NL
2009	5317	Bacteria	NL
2008	15322	Bacteria	NL
2007	11231	Bacteria	NL
2006	4523	Bacteria	NL
2005	3124	Bacteria	NL
2004	3073	Bacteria	NL
2003	2220	Bacteria	NL
2002	2143	Bacteria	NL
2001	2307	Bacteria	NL
2000	1851	Bacteria	NL
2024	8	Bacteria	LU
2023	1	Bacteria	LU
2022	6	Bacteria	LU
2021	12	Bacteria	LU
2020	1	Bacteria	LU
2019	9	Bacteria	LU
2018	2	Bacteria	LU
2017	6	Bacteria	LU
2016	7	Bacteria	LU
2015	24	Bacteria	LU
2014	10	Bacteria	LU
2013	14	Bacteria	LU
2012	1	Bacteria	LU
2011	2	Bacteria	LU
2009	15	Bacteria	LU
2008	28	Bacteria	LU
2007	265	Bacteria	LU
